FunctionalArea,RoleID,RoleName,Lvl,CourseNo,LMSCode,CourseTitle,DeliveryMethod,CourseID,DurationHours,DurationLonghand
Benefits,BN.05,Benefits Insurance Administrator ASHI,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.05,Benefits Insurance Administrator ASHI,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.05,Benefits Insurance Administrator ASHI,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.05,Benefits Insurance Administrator ASHI,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.05,Benefits Insurance Administrator ASHI,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.05,Benefits Insurance Administrator ASHI,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.05,Benefits Insurance Administrator ASHI,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.06,Benefits Insurance Senior Administrator ASHI,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.06,Benefits Insurance Senior Administrator ASHI,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.06,Benefits Insurance Senior Administrator ASHI,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.06,Benefits Insurance Senior Administrator ASHI,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.06,Benefits Insurance Senior Administrator ASHI,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.06,Benefits Insurance Senior Administrator ASHI,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.06,Benefits Insurance Senior Administrator ASHI,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.07,Benefits Insurance Interface Processor,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.07,Benefits Insurance Interface Processor,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.07,Benefits Insurance Interface Processor,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.07,Benefits Insurance Interface Processor,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.07,Benefits Insurance Interface Processor,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.07,Benefits Insurance Interface Processor,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.07,Benefits Insurance Interface Processor,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.08,Benefits Display All,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.08,Benefits Display All,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.08,Benefits Display All,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.08,Benefits Display All,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.08,Benefits Display All,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.08,Benefits Display All,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.08,Benefits Display All,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.09,Benefits Display LS,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.09,Benefits Display LS,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.09,Benefits Display LS,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.09,Benefits Display LS,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.10,Benefits Display NS,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.10,Benefits Display NS,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.10,Benefits Display NS,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.10,Benefits Display NS,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.10,Benefits Display NS,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.10,Benefits Display NS,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.10,Benefits Display NS,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.11,Benefits Reports All,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.11,Benefits Reports All,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.11,Benefits Reports All,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.11,Benefits Reports All,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.11,Benefits Reports All,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.11,Benefits Reports All,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.11,Benefits Reports All,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.12,Benefits Reports LS,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.12,Benefits Reports LS,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.12,Benefits Reports LS,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.12,Benefits Reports LS,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.12,Benefits Reports LS,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.12,Benefits Reports LS,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.12,Benefits Reports LS,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Benefits,BN.13,Benefits Reports NS,1,101,LMS-1335,Umoja Overview,CBT,NA101,1.5,1.5 hours
Benefits,BN.13,Benefits Reports NS,1,102,LMS-1336,Umoja Master Data & Coding Block Overview,CBT,MD102,1.5,1.5 hours
Benefits,BN.13,Benefits Reports NS,2,201,LMS-1354,Umoja ECC Navigation,CBT,NV201,4,4 hours
Benefits,BN.13,Benefits Reports NS,2,203,LMS-1356,Umoja BI Navigation,CBT,NV203,2,2 hours
Benefits,BN.13,Benefits Reports NS,2,211,LMS-1714,Umoja Employee Self Service (ESS) Basic Navigation (highly recommended),CBT,NV211,2,2 hours
Benefits,BN.13,Benefits Reports NS,3,3125,LMS-1888,Umoja Benefits Employee Self-Service (ESS) Overview,CBT,BN3125,2,2 hours
Benefits,BN.13,Benefits Reports NS,3,3126,LMS-1732,Umoja Medical and Life Insurance Administration,CBT,BN3126,2.5,2.5 hours
Business Intelligence,BI.01,BI:FI FM Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.01,BI:FI FM Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.01,BI:FI FM Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.01,BI:FI FM Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.01,BI:FI FM Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.02,BI:FI GL Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.02,BI:FI GL Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.02,BI:FI GL Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.02,BI:FI GL Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.02,BI:FI GL Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.03,BI:CS RE Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.03,BI:CS RE Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.03,BI:CS RE Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.03,BI:CS RE Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.03,BI:CS RE Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.04,BI:SC ZZ Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.04,BI:SC ZZ Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.04,BI:SC ZZ Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.04,BI:SC ZZ Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.04,BI:SC ZZ Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.05,BI:FI AP Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.05,BI:FI AP Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.05,BI:FI AP Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.05,BI:FI AP Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.05,BI:FI AP Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.06,BI:FI AR Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.06,BI:FI AR Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.06,BI:FI AR Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.06,BI:FI AR Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.06,BI:FI AR Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.07,BI:FI FA Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.07,BI:FI FA Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.07,BI:FI FA Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.07,BI:FI FA Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.07,BI:FI FA Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.08,BI:FI GM Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.08,BI:FI GM Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.08,BI:FI GM Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.08,BI:FI GM Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.08,BI:FI GM Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.09,BI:PP ZZ Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.09,BI:PP ZZ Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.09,BI:PP ZZ Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.09,BI:PP ZZ Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.09,BI:PP ZZ Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.11,BI:FI FM Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.11,BI:FI FM Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.11,BI:FI FM Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.11,BI:FI FM Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.11,BI:FI FM Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.12,BI:FI GL Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.12,BI:FI GL Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.12,BI:FI GL Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.12,BI:FI GL Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.12,BI:FI GL Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.13,BI:CS RE Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.13,BI:CS RE Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.13,BI:CS RE Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.13,BI:CS RE Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.13,BI:CS RE Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.14,BI:SC ZZ Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.14,BI:SC ZZ Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.14,BI:SC ZZ Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.14,BI:SC ZZ Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.14,BI:SC ZZ Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.15,BI:FI AP Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.15,BI:FI AP Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.15,BI:FI AP Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.15,BI:FI AP Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.15,BI:FI AP Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.16,BI:FI AR Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.16,BI:FI AR Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.16,BI:FI AR Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.16,BI:FI AR Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.16,BI:FI AR Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.17,BI:FI FA Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.17,BI:FI FA Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.17,BI:FI FA Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.17,BI:FI FA Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.17,BI:FI FA Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.18,BI:FI GM Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.18,BI:FI GM Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.18,BI:FI GM Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.18,BI:FI GM Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.18,BI:FI GM Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.19,BI:PP ZZ Basic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.19,BI:PP ZZ Basic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.19,BI:PP ZZ Basic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.19,BI:PP ZZ Basic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.19,BI:PP ZZ Basic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.20,BI:FI FM Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.20,BI:FI FM Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.20,BI:FI FM Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.20,BI:FI FM Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.20,BI:FI FM Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.21,BI:FI GL Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.21,BI:FI GL Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.21,BI:FI GL Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.21,BI:FI GL Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.21,BI:FI GL Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.22,BI:CS RE Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.22,BI:CS RE Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.22,BI:CS RE Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.22,BI:CS RE Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.22,BI:CS RE Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.23,BI:SC ZZ Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.23,BI:SC ZZ Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.23,BI:SC ZZ Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.23,BI:SC ZZ Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.23,BI:SC ZZ Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.24,BI:FI AP Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.24,BI:FI AP Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.24,BI:FI AP Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.24,BI:FI AP Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.24,BI:FI AP Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.25,BI:FI AR Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.25,BI:FI AR Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.25,BI:FI AR Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.25,BI:FI AR Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.25,BI:FI AR Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.26,BI:FI FA Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.26,BI:FI FA Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.26,BI:FI FA Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.26,BI:FI FA Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.26,BI:FI FA Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.27,BI:FI GM Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.27,BI:FI GM Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.27,BI:FI GM Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.27,BI:FI GM Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.27,BI:FI GM Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.28,BI:PP ZZ Analytic User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.28,BI:PP ZZ Analytic User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.28,BI:PP ZZ Analytic User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.28,BI:PP ZZ Analytic User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.28,BI:PP ZZ Analytic User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.29,BI:FI TR-IM Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.29,BI:FI TR-IM Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.29,BI:FI TR-IM Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.29,BI:FI TR-IM Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.29,BI:FI TR-IM Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.31,BI: Basic Dashboard User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.31,BI: Basic Dashboard User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.31,BI: Basic Dashboard User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.31,BI: Basic Dashboard User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.31,BI: Basic Dashboard User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.32,BI: Analytic Dashboard User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.32,BI: Analytic Dashboard User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.32,BI: Analytic Dashboard User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.32,BI: Analytic Dashboard User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.32,BI: Analytic Dashboard User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.33,BI:CS TV Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.33,BI:CS TV Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.33,BI:CS TV Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.33,BI:CS TV Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.33,BI:CS TV Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.36,BI:HR BN Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.36,BI:HR BN Power User,3,3126,LMS-1336,xx,xx,xx,,
Business Intelligence,BI.36,BI:HR BN Power User,3,3126,LMS-1354,xx,xx,xx,,
Business Intelligence,BI.36,BI:HR BN Power User,3,3126,LMS-1356,xx,xx,xx,,
Business Intelligence,BI.36,BI:HR BN Power User,3,3126,LMS-1289,xx,xx,xx,,
Business Intelligence,BI.39,BI:RT Power User,3,3126,LMS-1335,xx,xx,xx,,
Business Intelligence,BI.39,BI:RT Power User,3,3126,LMS-1336,xx,xx,xx,,
