CDOMAIN,CDOMAINDESCR,CLMS,CDESCRIPTION,CLOCATION,CDATE,NOOFPARTICIPANTS
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNOV,16/07/2015,32
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNOV,28/09/2015,13
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNOV,27/10/2015,5
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNOV,02/11/2015,23
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNOV,23/05/2016,24
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNSMIL,13/02/2014,6
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,UNTSO,27/02/2014,15
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,17/06/2013,29
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,27/06/2013,23
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,09/07/2013,15
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,06/08/2013,12
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,26/08/2013,22
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,07/09/2013,15
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,09/09/2013,1
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,23/09/2013,8
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,24/09/2013,5
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,25/09/2013,50
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,01/10/2013,9
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,02/10/2013,10
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,08/10/2013,2
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,09/10/2013,17
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,12/10/2013,9
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,15/10/2013,2
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,16/10/2013,12
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,17/10/2013,4
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,21/10/2013,5
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,23/10/2013,3
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,30/10/2013,33
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,31/10/2013,25
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,01/11/2013,10
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,08/11/2013,10
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,11/12/2013,5
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,22/01/2014,12
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,06/02/2014,12
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,11/02/2014,16
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,28/02/2014,3
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,30/04/2014,9
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,21/07/2014,7
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,05/08/2014,8
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,10/11/2014,16
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,06/12/2014,6
FA,Financial Accounting,LMS-1304,Umoja General Ledger Process,Umoja,20/05/2015,65
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,BNUB,19/02/2014,4
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,ECA,27/09/2015,20
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,ECLAC,12/10/2015,14
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,ESCAP,24/08/2016,3
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,ESCWA,21/09/2015,10
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,20/04/2015,13
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,20/05/2015,16
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,31/08/2015,26
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,02/09/2015,9
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,03/09/2015,12
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,04/09/2015,4
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,07/09/2015,12
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,08/09/2015,9
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,09/09/2015,7
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,18/09/2015,11
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,02/10/2015,12
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,08/10/2015,12
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,26/10/2015,8
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Geneva Learning Environment,27/10/2015,16
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,MINUSCA,03/03/2014,4
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,MINUSMA,12/03/2014,3
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,New York,24/09/2015,26
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,RSCE,22/07/2014,7
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNAMI,24/02/2014,8
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNAMID,27/10/2013,18
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNFICYP,27/09/2013,11
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNGSC,01/10/2013,8
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNMOGIP,21/02/2014,6
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNMOGIP,23/02/2014,17
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNON,20/05/2015,58
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNOV,28/09/2015,13
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNOV,20/10/2015,5
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNOV,02/11/2015,23
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNOV,24/05/2016,24
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,UNSMIL,04/02/2014,6
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,19/06/2013,24
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,21/06/2013,18
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,29/06/2013,20
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,10/07/2013,14
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,10/08/2013,12
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,19/08/2013,8
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,30/08/2013,14
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,25/09/2013,12
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,26/09/2013,15
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,30/09/2013,41
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,01/10/2013,36
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,05/10/2013,9
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,08/10/2013,19
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,09/10/2013,2
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,11/10/2013,10
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,14/10/2013,8
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,15/10/2013,13
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,16/10/2013,2
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,22/10/2013,5
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,24/10/2013,11
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,25/10/2013,11
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,28/10/2013,16
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,29/10/2013,19
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,31/10/2013,5
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,13/12/2013,9
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,16/01/2014,13
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,31/01/2014,3
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,13/02/2014,9
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,20/02/2014,4
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,26/02/2014,15
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,27/02/2014,6
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,17/03/2014,15
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,28/04/2014,4
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,05/08/2014,8
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,11/11/2014,14
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,13/11/2014,19
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,06/12/2014,6
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,20/05/2015,64
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,23/07/2015,31
FA,Financial Accounting,LMS-1323,Umoja Accounts Payable Process,Umoja,06/07/2016,3
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,BNUB,24/02/2014,4
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,ECA,25/09/2015,20
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,ECLAC,09/11/2015,7
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,ESCAP,04/10/2016,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,ESCWA,29/09/2015,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Geneva Learning Environment,04/06/2015,8
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Geneva Learning Environment,17/08/2015,9
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Geneva Learning Environment,31/08/2015,40
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Geneva Learning Environment,15/09/2015,4
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Geneva Learning Environment,30/09/2015,12
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Geneva Learning Environment,04/11/2015,9
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,MINUSCA,14/03/2014,4
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,MINUSMA,18/03/2014,3
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,New York,24/09/2015,26
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNAMID,28/10/2013,21
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNFICYP,23/09/2013,20
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNGSC,03/10/2013,8
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNMOGIP,19/02/2014,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNON,08/04/2015,0
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNON,20/05/2015,58
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNOV,24/07/2015,30
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNOV,28/09/2015,13
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNOV,16/10/2015,5
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNOV,02/11/2015,23
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNOV,23/05/2016,24
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,UNSMIL,05/02/2014,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,18/06/2013,17
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,08/07/2013,25
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,18/07/2013,11
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,21/08/2013,11
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,27/08/2013,14
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,29/08/2013,8
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,09/09/2013,1
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,26/09/2013,7
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,27/09/2013,4
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,01/10/2013,58
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,05/10/2013,11
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,07/10/2013,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,08/10/2013,8
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,09/10/2013,5
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,10/10/2013,38
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,11/10/2013,7
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,17/10/2013,13
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,18/10/2013,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,21/10/2013,22
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,23/10/2013,5
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,25/10/2013,19
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,28/10/2013,16
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,31/10/2013,15
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,01/11/2013,4
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,08/11/2013,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,18/12/2013,11
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,14/01/2014,13
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,01/02/2014,4
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,11/02/2014,15
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,25/02/2014,15
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,26/02/2014,9
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,27/02/2014,11
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,03/03/2014,9
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,24/07/2014,7
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,05/08/2014,8
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,17/11/2014,14
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,06/12/2014,6
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,20/05/2015,65
FA,Financial Accounting,LMS-1330,Umoja Accounts Receivable Process,Umoja,05/11/2015,5
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,BNUB,26/02/2014,9
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,ESCWA,11/01/2016,9
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Geneva Learning Environment,18/05/2015,18
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,MINUSCA,03/03/2014,4
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,New York,29/07/2015,24
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,New York,14/10/2015,5
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,UNAMID,20/10/2013,8
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,UNAMID,23/10/2013,12
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,UNAMID,27/10/2013,4
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,UNFICYP,11/10/2013,12
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,UNMOGIP,28/02/2014,11
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,UNOV,09/11/2015,1
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,UNSMIL,03/02/2014,7
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,04/07/2013,20
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,09/07/2013,11
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,17/08/2013,13
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,27/08/2013,8
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,11/09/2013,14
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,25/09/2013,18
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,01/10/2013,12
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,02/10/2013,6
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,08/10/2013,13
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,11/10/2013,17
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,16/10/2013,12
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,17/10/2013,16
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,18/10/2013,22
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,22/10/2013,9
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,23/10/2013,11
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,28/10/2013,2
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,01/11/2013,4
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,11/11/2013,9
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,27/01/2014,14
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,06/02/2014,12
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,01/03/2014,12
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,20/05/2015,22
FA,Financial Accounting,LMS-1332,Umoja Asset Accounting Process,Umoja,07/10/2015,8
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,ECA,14/04/2015,0
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,ECLAC,14/04/2015,0
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,ECLAC,07/10/2015,2
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,ESCAP,04/10/2016,6
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,Geneva Learning Environment,20/08/2015,9
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,Geneva Learning Environment,31/08/2015,26
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,Geneva Learning Environment,03/11/2015,10
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,New York,24/09/2015,26
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,UNON,20/05/2015,58
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,UNOV,28/07/2015,31
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,UNOV,19/10/2015,5
FA,Financial Accounting,LMS-1947,Umoja Bank Reconciliation,Umoja,20/05/2015,74
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,ECA,08/11/2016,17
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,ESCAP,07/10/2016,2
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,ESCWA,19/01/2016,5
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,MINUSCA,21/12/2016,1
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,New York,27/10/2014,15
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,UNAMID,30/09/2013,10
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,UNAMID,02/10/2013,14
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,UNAMID,29/10/2013,5
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,UNFICYP,07/10/2013,7
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,UNMISS,19/09/2013,4
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,UNON,28/04/2014,13
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,17/09/2013,7
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,18/09/2013,5
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,23/09/2013,10
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,26/09/2013,2
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,08/10/2013,10
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,10/10/2013,3
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,29/10/2013,2
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,30/10/2013,6
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,01/11/2013,6
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,13/11/2013,10
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,21/01/2014,7
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,28/04/2014,14
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,06/05/2014,9
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,13/05/2014,4
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,27/05/2014,1
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,05/06/2014,3
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,10/06/2014,26
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,08/09/2014,26
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,15/09/2014,10
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,20/05/2015,8
FF,Facilities & Fixed Asset Management,LMS-1568,Umoja Real Estate Portfolio Management,Umoja,27/05/2015,0
FF,Facilities & Fixed Asset Management,LMS-1569,Umoja Lease Administration Process,ESCAP,07/10/2016,2
FF,Facilities & Fixed Asset Management,LMS-1569,Umoja Lease Administration Process,ESCWA,26/01/2016,5
FF,Facilities & Fixed Asset Management,LMS-1569,Umoja Lease Administration Process,Geneva Learning Environment,12/06/2014,16
FF,Facilities & Fixed Asset Management,LMS-1569,Umoja Lease Administration Process,MINUSCA,21/12/2016,1
