Activity,Employee Index Number
LMS-1443-1,
LMS-1443-1,581817
LMS-1443-1,825624
LMS-1336-1,606729
LMS-1443-1,238457
LMS-1443-1,750281
LMS-1443-1,825893
LMS-1443-1,137786
LMS-1443-1,337225
LMS-1443-1,675305
LMS-1443-1,310178
LMS-1443-1,416361
LMS-1443-1,744187
LMS-1443-1,263115
LMS-1443-1,684368
LMS-1443-1,226969
LMS-1443-1,706870
LMS-1443-1,306183
LMS-1336-1,748357
LMS-1309-3,577093
LMS-1309-3,698407
LMS-1309-3,706870
LMS-1303-4,617257
LMS-1303-4,585359
LMS-1303-4,140904
LMS-1303-4,827050
LMS-1332-2,577093
LMS-1332-2,975473
LMS-1335-3,68918
LMS-1342-1,750599
LMS-1335-3,615813
LMS-1336-1,115393
LMS-1330-2,975473
LMS-1354-2,242001
LMS-1335-2,798817
LMS-1335-2,851733
LMS-1354-2,846524
LMS-1354-2,833737
LMS-1354-2,5522
LMS-1354-2,391840
LMS-1354-2,321118
LMS-1336-1,846524
LMS-1336-1,5522
LMS-1336-1,391840
LMS-1354-2,246804
LMS-1354-2,787821
LMS-1354-2,356326
LMS-1354-2,221165
LMS-1354-2,225637
LMS-1339-1,216364
LMS-1342-1,225637
LMS-1347-1,85845
LMS-1347-1,239865
LMS-1347-1,225637
LMS-1347-1,761228
LMS-1349-1,85845
LMS-1349-1,221165
LMS-1349-1,225637
LMS-1352-1,225637
LMS-1338-1,100188
LMS-1336-1,460783
LMS-1335-2,459848
LMS-1354-2,761228
LMS-1339-1,221165
LMS-1342-1,216364
LMS-1347-1,474239
LMS-1347-1,216364
LMS-1347-1,221165
LMS-1349-1,356326
LMS-1349-1,216364
LMS-1349-1,100188
LMS-1349-1,761228
LMS-1352-1,216364
LMS-1352-1,221165
LMS-1338-1,221165
LMS-1354-2,460783
LMS-1339-1,460783
LMS-1308-8,540496
LMS-1347-1,460783
LMS-1349-1,460783
LMS-1323-4,773381
LMS-1323-4,712848
LMS-1324-3,310178
LMS-1354-2,286173
LMS-1336-1,286173
LMS-1335-3,663655
LMS-1354-2,157948
LMS-1519-1,230896
LMS-1324-3,267101
LMS-1322-5,621099
LMS-1302-10,68918
LMS-1302-10,973703
LMS-1356-1,389303
LMS-1356-1,417175
LMS-1356-1,433372
LMS-1356-1,436565
LMS-1356-1,459461
LMS-1356-1,474663
LMS-1356-1,489673
LMS-1356-1,502856
LMS-1356-1,534707
LMS-1356-1,583993
LMS-1356-1,584181
LMS-1356-1,584746
LMS-1356-1,585359
LMS-1356-1,589022
LMS-1356-1,632176
LMS-1356-1,675292
LMS-1356-1,675373
LMS-1338-1,309033
LMS-1342-1,886504
LMS-1342-1,44827
LMS-1339-1,425780
LMS-1339-1,491482
LMS-1339-1,490217
LMS-1354-2,2344
LMS-1354-2,107412
LMS-1354-2,263079
LMS-1354-2,459461
LMS-1354-2,450084
LMS-1354-2,388785
LMS-1354-2,644290
LMS-1354-2,463953
LMS-1354-2,678697
LMS-1354-2,6531
LMS-1354-2,877494
LMS-1354-2,583993
LMS-1354-2,949989
LMS-1354-2,859013
LMS-1354-2,582288
LMS-1354-2,513646
LMS-1354-2,399643
LMS-1354-2,293748
LMS-1354-2,134596
LMS-1354-2,708262
LMS-1354-2,351693
LMS-1354-2,138973
LMS-1354-2,38047
LMS-1354-2,815141
LMS-1354-2,584746
LMS-1354-2,137786
LMS-1354-2,352050
LMS-1354-2,747233
LMS-1354-2,475464
LMS-1354-2,747948
LMS-1354-2,226969
LMS-1354-2,684368
LMS-1354-2,906939
LMS-1354-2,287056
LMS-1354-2,75516
LMS-1354-2,345974
LMS-1354-2,373071
LMS-1354-2,714307
LMS-1354-2,848515
LMS-1354-2,454150
LMS-1354-2,232446
LMS-1354-2,585359
LMS-1354-2,673718
LMS-1355-1,362339
LMS-1355-1,741322
LMS-1355-1,38047
LMS-1355-1,433372
LMS-1355-1,344008
LMS-1326-3,143787
LMS-1355-1,352050
LMS-1355-1,827050
LMS-1355-1,555147
LMS-1355-1,226969
LMS-1355-1,906939
LMS-1355-1,950357
LMS-1355-1,947747
LMS-1355-1,930911
LMS-1355-1,345283
LMS-1355-1,343490
LMS-1355-1,932239
LMS-1355-1,502856
LMS-1355-1,392992
LMS-1355-1,706778
LMS-1355-1,611080
LMS-1355-1,632176
LMS-1355-1,667560
LMS-1355-1,872750
LMS-1355-1,351515
LMS-1355-1,684383
LMS-1355-1,290597
LMS-1355-1,75369
LMS-1355-1,61411
LMS-1303-1,990304
LMS-1335-3,792867
LMS-1335-3,794208
LMS-1335-3,808123
LMS-1335-3,809928
LMS-1356-1,183276
LMS-1356-1,199355
LMS-1356-1,242001
LMS-1356-1,262971
LMS-1356-1,287056
LMS-1356-1,303229
LMS-1356-1,308506
LMS-1356-1,317078
LMS-1356-1,337225
LMS-1356-1,346880
LMS-1356-1,366484
LMS-1356-1,379770
LMS-1356-1,441567
LMS-1356-1,451604
LMS-1356-1,507768
LMS-1356-1,565977
LMS-1356-1,571495
LMS-1356-1,577093
LMS-1356-1,585312
LMS-1336-1,247751
LMS-1336-1,248014
LMS-1336-1,257769
LMS-1336-1,289659
LMS-1336-1,304127
LMS-1336-1,378366
LMS-1336-1,411970
LMS-1336-1,413358
LMS-1336-1,535278
LMS-1336-1,548727
LMS-1336-1,610318
LMS-1336-1,631123
LMS-1336-1,633141
LMS-1336-1,660343
LMS-1336-1,665641
LMS-1336-1,670724
LMS-1336-1,677719
LMS-1336-1,685517
LMS-1336-1,720129
LMS-1354-2,107415
LMS-1354-2,938590
LMS-1336-1,766902
LMS-1336-1,790108
LMS-1336-1,794208
LMS-1336-1,832975
LMS-1336-1,854244
LMS-1336-1,951621
LMS-1336-1,983633
LMS-1336-1,995877
LMS-1346-1,336401
LMS-1346-1,319876
LMS-1346-1,315753
LMS-1335-2,467380
LMS-1336-1,467380
LMS-1338-1,411970
LMS-1338-1,424795
LMS-1338-1,454518
LMS-1338-1,497379
LMS-1338-1,499323
LMS-1338-1,535557
LMS-1338-1,548727
LMS-1338-1,587141
LMS-1338-1,633141
LMS-1338-1,642108
LMS-1338-1,689173
LMS-1338-1,689572
LMS-1338-1,735040
LMS-1326-3,315753
LMS-1326-3,265029
LMS-1338-1,790108
LMS-1338-1,836362
LMS-1338-1,855682
LMS-1338-1,895058
LMS-1338-1,976674
LMS-1339-1,73505
LMS-1339-1,74234
LMS-1339-1,77545
LMS-1339-1,87233
LMS-1339-1,111499
LMS-1339-1,125217
LMS-1339-1,152021
LMS-1339-1,230896
LMS-1339-1,264630
LMS-1339-1,417209
LMS-1339-1,417320
LMS-1339-1,424795
LMS-1339-1,443756
LMS-1339-1,455607
LMS-1339-1,497379
LMS-1339-1,535557
LMS-1339-1,587141
LMS-1335-3,311742
LMS-1335-3,872867
LMS-1336-1,872867
LMS-1347-1,211579
LMS-1349-1,211579
LMS-1338-1,211579
LMS-1517-69,
LMS-1335-3,755167
LMS-1335-3,771927
LMS-1335-3,764665
LMS-1354-2,389625
LMS-1354-2,464333
LMS-1345-1,464333
LMS-1344-2,914680
LMS-1355-1,755167
LMS-1326-3,771927
LMS-1354-2,771927
LMS-1354-2,755557
LMS-1354-2,86008
LMS-1354-2,242696
LMS-1335-3,102565
LMS-1335-3,419910
LMS-1335-3,610702
LMS-1335-3,273016
LMS-1335-3,7134
LMS-1335-3,82848
LMS-1336-1,7134
LMS-1336-1,41833
LMS-1336-1,864458
LMS-1336-1,5325
LMS-1336-1,839180
LMS-1336-1,934924
LMS-1354-2,610135
LMS-1354-2,67354
LMS-1354-2,183532
LMS-1354-2,184593
LMS-1354-2,51302
LMS-1346-1,
LMS-1348-1,
LMS-1335-3,980589
LMS-1336-1,50595
LMS-1354-2,429724
LMS-1336-1,980589
LMS-1336-1,746452
LMS-1347-1,134717
LMS-1347-1,152021
LMS-1347-1,337108
LMS-1347-1,384576
LMS-1347-1,411970
LMS-1342-1,584134
LMS-1342-1,319756
LMS-1347-1,491482
LMS-1347-1,499323
LMS-1347-1,510790
LMS-1347-1,548727
LMS-1347-1,587141
LMS-1347-1,642684
LMS-1347-1,665641
LMS-1347-1,677719
LMS-1335-3,411970
LMS-1335-3,415926
LMS-1335-3,417320
LMS-1335-3,430377
LMS-1335-3,438365
LMS-1335-3,455607
LMS-1335-3,481625
LMS-1335-3,497379
LMS-1335-3,548727
LMS-1335-3,562298
LMS-1335-3,609294
LMS-1335-3,682973
LMS-1335-3,684114
LMS-1335-3,685517
LMS-1335-3,699654
LMS-1335-3,703243
LMS-1335-3,767234
LMS-1335-3,780055
LMS-1335-3,836362
LMS-1335-3,976674
LMS-1335-3,233174
LMS-1335-3,265029
LMS-1335-3,319756
LMS-1335-3,649383
LMS-1335-3,319876
LMS-1335-3,557136
LMS-1335-3,71312
LMS-1335-3,153873
LMS-1336-1,233174
LMS-1336-1,52555
LMS-1336-1,556192
LMS-1336-1,391137
LMS-1336-1,71312
LMS-1336-1,107415
LMS-1336-1,73505
LMS-1336-1,74629
LMS-1336-1,79299
LMS-1336-1,80290
LMS-1336-1,83179
LMS-1336-1,112044
LMS-1336-1,125217
LMS-1336-1,134717
LMS-1339-1,642684
LMS-1335-2,150207
LMS-1335-2,537357
LMS-1335-2,489673
LMS-1336-1,490657
LMS-1336-1,865473
LMS-1336-1,204840
LMS-1335-2,242001
LMS-1335-2,905784
LMS-1335-2,678432
LMS-1336-1,331926
LMS-1335-2,712259
LMS-1336-1,367346
LMS-1335-2,393595
LMS-1335-2,77775
LMS-1335-2,262971
LMS-1335-2,153653
LMS-1335-2,569531
LMS-1336-1,781385
LMS-1336-1,323994
LMS-1336-1,938824
LMS-1336-1,402541
LMS-1336-1,366568
LMS-1336-1,441567
LMS-1336-1,210402
LMS-1335-2,204840
LMS-1335-2,850808
LMS-1335-2,641069
LMS-1335-2,583807
LMS-1336-1,750730
LMS-1336-1,100205
LMS-1336-1,758442
LMS-1336-1,740852
LMS-1336-1,247309
LMS-1336-1,211929
LMS-1336-1,336770
LMS-1336-1,767539
LMS-1335-2,856649
LMS-1335-2,402541
LMS-1335-2,441567
LMS-1335-2,414059
LMS-1335-2,38531
LMS-1335-2,879654
LMS-1336-1,537357
LMS-1336-1,571495
LMS-1336-1,339813
LMS-1336-1,637067
LMS-1336-1,783262
LMS-1336-1,283306
LMS-1336-1,489673
LMS-1336-1,242001
LMS-1336-1,905784
LMS-1336-1,911517
LMS-1336-1,166400
LMS-1336-1,621099
LMS-1336-1,963166
LMS-1336-1,393595
LMS-1336-1,77775
LMS-1336-1,262971
LMS-1336-1,870510
LMS-1336-1,693245
LMS-1335-3,140904
LMS-1335-3,62752
LMS-1335-3,565874
LMS-1335-3,137786
LMS-1335-3,303229
LMS-1335-3,6854
LMS-1335-3,937170
LMS-1335-3,825173
LMS-1335-3,584181
LMS-1335-3,475464
LMS-1335-3,747948
LMS-1335-3,704019
LMS-1335-3,226969
LMS-1335-3,846201
LMS-1335-3,63951
